iri,source_file,parent_iris,label_en,label_de,label_none,definition_en,definition_de,definition_none,label_en_suggested,label_de_suggested,definition_en_suggested,definition_de_suggested,notes
https://w3id.org/pmd/co/PMD_0000552,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,chemical composition analyzing process,Analyseverfahren für die chemische Zusammensetzung,,A structural property analyzing process that determines the chemical composition of a material by identifying and quantifying its constituent elements and compounds.,"Ein Struktur Eigenschaften Analyseverfahren, das die chemische Zusammensetzung eines Materials bestimmt, indem es dessen Bestandteile und Verbindungen identifiziert und quantifiziert.",,,,,,
https://w3id.org/pmd/co/PMD_0000554,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,chemical property analyzing process,Chemische Eigenschaften Analyseverfahren,,"An assay that determines the chemical composition, reactivity, and chemical stability of materials, including the identification and quantification of chemical elements and compounds.","Eine Analyse, die die chemische Zusammensetzung, Reaktivität und chemische Stabilität von Materialien bestimmt, einschließlich der Identifizierung und Quantifizierung chemischer Elemente und Verbindungen.",,,,,,
https://w3id.org/pmd/co/PMD_0000556,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,chromatography process,Chromatographieverfahren,,A structural property analyzing process that enables the separation and analysis of compounds in a mixture by their distribution between a mobile and a stationary phase.,"Ein Struktur Eigenschaften Analyseverfahren, das die Trennung und Analyse von Verbindungen in einem Gemisch durch ihre Verteilung zwischen einer mobilen und einer stationären Phase ermöglicht.",,,,,,
https://w3id.org/pmd/co/PMD_0000581,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,compression testing process,Druckprüfverfahren,,"A mechanical property analyzing processs that determines a material's behavior under compressive forces, measuring its compressive strength and modulus.","Ein Mechanische Eigenschaften Analyseverfahren, das das Verhalten eines Materials unter Druckkräften bestimmt und seine Druckfestigkeit und seinen Druckmodul misst.",,,,,,
https://w3id.org/pmd/co/PMD_0000589,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,creep testing process,Kriechprüfverfahren,,"A mechanical property analyzing process that evaluates a material's deformation over time under constant stress and temperature, determining its creep behavior.","Ein Mechanische Eigenschaften Analyseverfahren, das die Verformung eines Materials über die Zeit unter konstanter Belastung und Temperatur bewertet und sein Kriechverhalten bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000606,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,differential scanning calorimetry process,Dynamische Differenzkalorimetrie-Verfahren,,"A thermal property analyzing process that measures the heat flow into or out of a material as it is heated, cooled, or held at a constant temperature, determining its thermal transitions such as melting, crystallization, and glass transitions.","Ein Thermische Eigenschaften Analyseverfahren, das den Wärmestrom in oder aus einem Material misst, während es erhitzt, gekühlt oder bei konstanter Temperatur gehalten wird, um seine thermischen Übergänge wie Schmelzen, Kristallisation und Glasübergänge zu bestimmen.",,,,,,
https://w3id.org/pmd/co/PMD_0000607,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,differential thermal analysis process,Differenzthermoanalyse-Verfahren,,"A thermal property analyzing process that measures the temperature difference between a sample and a reference material as they are subjected to a controlled temperature program, identifying phase transitions and reactions.","Ein Thermische Eigenschaften Analyseverfahren, das die Temperaturdifferenz zwischen einer Probe und einem Referenzmaterial misst, während sie einem kontrollierten Temperaturprogramm unterzogen werden, um Phasenübergänge und Reaktionen zu identifizieren.",,,,,,
https://w3id.org/pmd/co/PMD_0000611,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,dimension measuring process,Dimensions Messprozess,,"A structural property analyzing process that determines the physical dimensions of a material or object, such as length, width, height, diameter, and thickness, with high accuracy and precision.","Ein Struktur Eigenschaften Analyseverfahren, das die physikalischen Dimensionen eines Materials oder Objekts, wie Länge, Breite, Höhe, Durchmesser und Dicke, mit hoher Genauigkeit und Präzision bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000616,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,dynamic mechanical analysis process,Dynamisch-mechanische Analyse-Verfahren,,"A mechanical property analyzing process that measures the mechanical properties of a material as a function of temperature, time, frequency, and stress, determining its viscoelastic behavior.","Ein Mechanische Eigenschaften Analyseverfahren, welcher die mechanischen Eigenschaften eines Materials in Abhängigkeit von Temperatur, Zeit, Frequenz und Spannung misst und dessen viskoelastisches Verhalten bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000622,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,electrical property analyzing process,Elektrische Eigenschaften Analyseverfahren,,"An assay that determines the electrical properties of materials, including electrical conductivity, resistivity, dielectric strength, and electrical charge storage capabilities.","Eine Analyse, die die elektrischen Eigenschaften von Materialien bestimmt, einschließlich elektrischer Leitfähigkeit, Widerstand, dielektrischer Festigkeit und elektrischer Ladungsspeicherkapazitäten.",,,,,,
https://w3id.org/pmd/co/PMD_0000625,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000856,electron microscopy,Elektronenmikroskopie,,"A microscopy process that uses a beam of electrons to create an image of an object, allowing for high-resolution visualization of the material's surface and internal structures.","Ein Mikroskopieverfahren, das einen Elektronenstrahl verwendet, um ein Bild eines Objekts zu erzeugen, wodurch eine hochauflösende Visualisierung der Oberfläche und der inneren Strukturen des Materials ermöglicht wird.",,,,,,
https://w3id.org/pmd/co/PMD_0000626,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,electron spectroscopy,Elektronenspektroskopie,,"A spectroscopy process, that studies the energy distribution of electrons emitted from a sample when it is irradiated with electromagnetic radiation or bombarded with particles.","Ein Spektroskopie Verfahren, das die Energieverteilung von Elektronen untersucht, die aus einer Probe emittiert werden, wenn diese mit elektromagnetischer Strahlung bestrahlt oder mit Teilchen bombardiert wird.",,,,,,
https://w3id.org/pmd/co/PMD_0000638,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849 | [complex],fatigue testing process,Ermüdungsprüfverfahren,,"Fatigue testing process is a  mechanical property analyzing process that assesses a material's ability to withstand cyclic loading, determining its fatigue life and endurance limit. It must have occurent parts single fatigue tests.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bewertet, zyklischen Belastungen standzuhalten, und seine Ermüdungslebensdauer und -grenze bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000653,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,fracture toughness testing process,Bruchzähigkeitsprüfverfahren,,"A mechanical property analyzing process that assesses a material's ability to resist crack propagation, determining its fracture toughness.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bewertet, der Rissausbreitung zu widerstehen, und seine Bruchzähigkeit bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000656,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,gas chromatography process,Gaschromatographie Verfahren,,"A chromatography process that separates and analyzes compounds that can be vaporized without decomposition, using a gas as the mobile phase and a solid or liquid stationary phase.","Ein Chromatographieverfahren, das Verbindungen trennt und analysiert, die ohne Zersetzung verdampft werden können, indem ein Gas als mobile Phase und eine feste oder flüssige stationäre Phase verwendet wird.",,,,,,
https://w3id.org/pmd/co/PMD_0000658,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,gel permeation chromatography process,Gel-Permeations-Chromatographie Verfahren,,"A chromatography process that separates molecules based on their size by passing the sample through a porous gel matrix, also known as size exclusion chromatography.","Ein Chromatographieverfahren, das Moleküle basierend auf ihrer Größe trennt, indem die Probe durch eine poröse Gelmatrix geleitet wird, auch bekannt als Größenausschlusschromatographie.",,,,,,
https://w3id.org/pmd/co/PMD_0000666,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,gravimetrical analyzing process,Gravimetrisches Analyseverfahren,,"A structural property analyzing process that measures the quantity of a substance by its mass, often involving the precipitation, filtration, drying, and weighing of the substance.","Ein Struktur Eigenschaften Analyseverfahren, das die Menge einer Substanz durch ihre Masse misst und dabei häufig die Fällung, Filtration, Trocknung und Wägung der Substanz umfasst.",,,,,,
https://w3id.org/pmd/co/PMD_0000776,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,hardness testing process,Härteprüfverfahren,,"A mechanical property analyzing process that measures a material's resistance to deformation, typically using indentation methods to determine hardness.","Ein Mechanische Eigenschaften Analyseverfahren, das den Widerstand eines Materials gegen Verformung misst und typischerweise Eindringverfahren verwendet, um die Härte zu bestimmen.",,,,,,
https://w3id.org/pmd/co/PMD_0000782,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,high-performance liquid chromatography process,Hochleistungsflüssigkeitschromatographie Verfahren,,"A chromatography process that separates, identifies, and quantifies components in a liquid sample using high pressure to pass the sample through a column packed with a stationary phase.","Ein Chromatographieverfahren, das Komponenten in einer flüssigen Probe trennt, identifiziert und quantifiziert, indem hoher Druck verwendet wird, um die Probe durch eine mit einer stationären Phase gefüllte Säule zu leiten.",,,,,,
https://w3id.org/pmd/co/PMD_0000788,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,impact testing process,Schlagprüfverfahren,,"A mechanical property analyzing process that determines a material's ability to absorb energy and withstand impact forces, typically using pendulum or drop-weight testers.","Ein Mechanische Eigenschaften Analyseverfahren, das die Fähigkeit eines Materials bestimmt, Energie zu absorbieren und Schlagkräfte zu widerstehen, typischerweise unter Verwendung von Pendel- oder Fallgewichtsprüfgeräten.",,,,,,
https://w3id.org/pmd/co/PMD_0000795,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,ion exchange chromatography process,Ionenaustauschchromatographie Verfahren,,A chromatography process that separates ions and polar molecules based on their charge by using an ion exchange resin to attract and retain the ions from the sample.,"Ein Chromatographieverfahren, das Ionen und polare Moleküle basierend auf ihrer Ladung trennt, indem ein Ionenaustauscherharz verwendet wird, um die Ionen aus der Probe anzuziehen und zu halten.",,,,,,
https://w3id.org/pmd/co/PMD_0000798,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000856,ion microscopy,Ionenmikroskopie,,"A microscopy process that uses a focused beam of ions to image a specimen, providing high-resolution images and compositional information, often used for surface analysis and depth profiling.","Ein Mikroskopieverfahren, das einen fokussierten Ionenstrahl verwendet, um ein Bild einer Probe zu erzeugen, hochauflösende Bilder und Zusammensetzungsinformationen liefert und häufig für Oberflächenanalysen und Tiefenprofilierung verwendet wird.",,,,,,
https://w3id.org/pmd/co/PMD_0000800,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,ion spectroscopy,Ionenspektroskopie,,"A spectroscopy process, that analyzes the properties and behavior of ions in a sample by measuring their interaction with electromagnetic fields or other ions.","Ein Spektroskopie Verfahren, das die Eigenschaften und das Verhalten von Ionen in einer Probe analysiert, indem es ihre Wechselwirkung mit elektromagnetischen Feldern oder anderen Ionen misst.",,,,,,
https://w3id.org/pmd/co/PMD_0000816,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,laser spectroscopy,Laserspektroskopie,,"A spectroscopy process, that uses laser light to probe the properties of materials.","Ein Spektroskopie Verfahren, das Laserlicht verwendet, um die Eigenschaften von Materialien zu untersuchen.",,,,,,
https://w3id.org/pmd/co/PMD_0000819,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000875,light microscopy,Lichtmikroskopie,,"An optical microscopy process that uses visible light and lenses to magnify and visualize specimens, enabling the study of the microstructure and morphology of materials.","Ein optisches Mikroskopieverfahren, das sichtbares Licht und Linsen verwendet, um Proben zu vergrößern und zu visualisieren, wodurch die Untersuchung der Mikrostruktur und Morphologie von Materialien ermöglicht wird.",,,,,,
https://w3id.org/pmd/co/PMD_0000829,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,magneto electrical property analyzing process,Magnetische Elektrische Eigenschaften Analyseverfahren,,"An assay that investigates the magnetic and electrical properties of materials, including conductivity, resistivity, permittivity, permeability, and magnetization.","Eine Analyse, die die magnetischen und elektrischen Eigenschaften von Materialien untersucht, einschließlich Leitfähigkeit, Widerstand, Permittivität, Permeabilität und Magnetisierung.",,,,,,
https://w3id.org/pmd/co/PMD_0000836,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000945,mass spectrometry,Massenspektroskopie,,A spectroscopy process that measures the mass-to-charge ratio of ions to identify and quantify molecules in a sample.,"Ein Spektroskopie Verfahren, das das Masse-zu-Ladung-Verhältnis von Ionen misst, um Moleküle in einer Probe zu identifizieren und zu quantifizieren.",,,,,,
https://w3id.org/pmd/co/PMD_0000849,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,mechanical property analyzing process,Mechanische Eigenschaften Analyseverfahren,,"An assay that evaluates the mechanical characteristics of materials, such as strength, hardness, elasticity, and tensile properties, often through tests that measure response to forces and loads.","Eine Analyse, die die mechanischen Eigenschaften von Materialien bewertet, wie z.B. Festigkeit, Härte, Elastizität und Zugfestigkeit, oft durch Tests, die die Reaktion auf Kräfte und Lasten messen.",,,,,,
https://w3id.org/pmd/co/PMD_0000856,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,microscopy process,Mikroskopie Verfahren,,Microscopy process that uses various types of microscopy techniques to visualize and analyze the microstructure and morphology of materials at different scales.,"Ein Struktur Eigenschaften Analyseverfahren, das verschiedene Arten von Mikroskopietechniken verwendet, um die Mikrostruktur und Morphologie von Materialien auf verschiedenen Ebenen zu visualisieren und zu analysieren.",,,,,,
https://w3id.org/pmd/co/PMD_0000867,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,nanoindentation process,Nanoindentationsverfahren,,A mechanical property analyzing processs that measures the hardness and elastic modulus of materials at the nanoscale using a sharp indenter.,"Ein Mechanische Eigenschaften Analyseverfahren, das die Härte und den elastischen Modulus von Materialien im Nanomaßstab mittels eines scharfen Eindringkörpers misst.",,,,,,
https://w3id.org/pmd/co/PMD_0000875,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000856,optical microscopy,Optische Mikroskopie,,"A microscopy process that uses visible light and lenses to magnify and image a specimen, widely used for examining the microstructure and morphology of materials.","Ein Mikroskopieverfahren, das sichtbares Licht und Linsen verwendet, um eine Probe zu vergrößern und abzubilden, und weit verbreitet zur Untersuchung der Mikrostruktur und Morphologie von Materialien ist.",,,,,,
https://w3id.org/pmd/co/PMD_0000878,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,optical property analyzing process,Optische Eigenschaften Analyseverfahren,,"An assay that assesses the optical characteristics of materials, such as refractive index, absorption, transmission, reflectivity, and luminescence.","Eine Analyse, die die optischen Eigenschaften von Materialien bewertet, wie z.B. Brechungsindex, Absorption, Transmission, Reflexion und Lumineszenz.",,,,,,
https://w3id.org/pmd/co/PMD_0000916,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,rheological property analyzing process,Rheologische Eigenschaften Analyseverfahren,,"A mechanical property analyzing process that determines the flow and deformation behavior of materials under applied forces, including viscosity, elasticity, and plasticity, often through rheometry and viscometry techniques.","Ein Mechanische Eigenschaften Analyseverfahren, das das Fließ- und Deformationsverhalten von Materialien unter Einwirkung von Kräften bestimmt, einschließlich Viskosität, Elastizität und Plastizität, oft durch Rheometrie- und Viskosimetrie-Techniken.",,,,,,
https://w3id.org/pmd/co/PMD_0000918,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000916,rheometry,Rheometry,,"Rheological property analyzing process that measures the flow and deformation behavior of materials, including complex fluids and soft solids, to provide comprehensive data on viscoelastic properties using rheometers.","Ein Rheologisches Eigenschaften Analyseverfahren, das das Fließ- und Verformungsverhalten von Materialien misst, einschließlich komplexer Flüssigkeiten und weicher Feststoffe, um umfassende Daten zu viskoelastischen Eigenschaften unter Verwendung von Rheometern zu liefern.",,,,,,
https://w3id.org/pmd/co/PMD_0000926,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,scratch testing process,Ritzhärteprüfverfahren,,"A mechanical property analyzing process that evaluates a material's resistance to scratching, measuring hardness and adhesion properties.","Ein Mechanische Eigenschaften Analyseverfahren, das den Widerstand eines Materials gegen Kratzer bewertet und seine Härte- und Haftungseigenschaften misst.",,,,,,
https://w3id.org/pmd/co/PMD_0000929,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,shear testing process,Schubprüfverfahren,,"A mechanical property analyzing process that measures a material's response to shear forces, determining its shear strength and shear modulus.","Ein Mechanische Eigenschaften Analyseverfahren, das die Reaktion eines Materials auf Scherkräfte misst und seine Scherfestigkeit und seinen Schermodul bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000941,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,spalling testing process,Abplatzprüfverfahren,,A mechanical property analyzing process that evaluates the resistance of a material to surface spalling or flaking under high impact or thermal stresses.,"Ein Mechanische Eigenschaften Analyseverfahren, das die Widerstandsfähigkeit eines Materials gegen Oberflächenabplatzungen oder Abblättern unter hohen Stoß- oder thermischen Belastungen bewertet.",,,,,,
https://w3id.org/pmd/co/PMD_0000945,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000957,spectroscopy process,Spektroskopie Verfahren,,"A structural property analyzing process that measures the interaction of electromagnetic radiation with matter to determine e.g. the composition, structure, and other properties of materials.","Ein Struktur Eigenschaften Analyseverfahren, das die Wechselwirkung von elektromagnetischer Strahlung mit Materie misst, um die Zusammensetzung, Struktur und physikalischen Eigenschaften von Materialien zu bestimmen.",,,,,,
https://w3id.org/pmd/co/PMD_0000957,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,structural property analyzing process,Struktur Eigenschaften Analyseverfahren,,"An assay that examines the external and internal structure and morphology of materials, including the arrangement of atoms, crystals, grains, and phases, often using techniques like microscopy and diffraction.","Eine Analyse, die die äußere und innere Struktur und Morphologie von Materialien untersucht, einschließlich der Anordnung von Atomen, Kristallen, Körnern und Phasen, oft unter Verwendung von Techniken wie Mikroskopie und Beugung.",,,,,,
https://w3id.org/pmd/co/PMD_0000962,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,supercritical fluid chromatography process,Überkritische Fluidchromatographie Verfahren,,"A chromatography process that utilizes a supercritical fluid as the mobile phase to separate components, offering higher speed and efficiency compared to traditional methods.","Ein Chromatographieverfahren, das ein überkritisches Fluid als mobile Phase verwendet, um Komponenten zu trennen, und im Vergleich zu traditionellen Methoden eine höhere Geschwindigkeit und Effizienz bietet.",,,,,,
https://w3id.org/pmd/co/PMD_0000974,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,tensile testing process,Zugprüfverfahren,,"A mechanical property analyzing process that determines a material's response to tensile forces, measuring its tensile strength, elongation, and Young's modulus.","Ein Mechanische Eigenschaften Analyseverfahren, das die Reaktion eines Materials auf Zugkräfte bestimmt und seine Zugfestigkeit, Dehnung und seinen Elastizitätsmodul misst.",,,,,,
https://w3id.org/pmd/co/PMD_0000979,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,thermal conductivity measurement process,Wärmeleitfähigkeitsmessverfahren,,"A thermal property analyzing process that measures the thermal conductivity of a material, determining its ability to conduct heat.","Ein Thermische Eigenschaften Analyseverfahren, das die Wärmeleitfähigkeit eines Materials misst und dessen Fähigkeit bestimmt, Wärme zu leiten.",,,,,,
https://w3id.org/pmd/co/PMD_0000982,src/ontology/components/pmdco-characterization.owl,http://purl.obolibrary.org/obo/OBI_0000070,thermal property analyzing process,Thermische Eigenschaften Analyseverfahren,,"An assay that measures the thermal behavior of materials, including heat capacity, thermal conductivity, thermal expansion, and phase transitions in response to temperature changes.","Eine Analyse, die das thermische Verhalten von Materialien misst, einschließlich Wärmekapazität, Wärmeleitfähigkeit, thermischer Ausdehnung und Phasenübergängen in Reaktion auf Temperaturänderungen.",,,,,,
https://w3id.org/pmd/co/PMD_0000986,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000982,thermogravimetric analysis process,Thermogravimetrische Analyse-Verfahren,,"A thermal property analyzing process that measures the change in mass of a material as a function of temperature or time in a controlled atmosphere, determining its thermal stability and composition.","Ein Thermische Eigenschaften Analyseverfahren, das die Massenänderung eines Materials in Abhängigkeit von Temperatur oder Zeit in einer kontrollierten Atmosphäre misst und dessen thermische Stabilität und Zusammensetzung bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000987,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849 | https://w3id.org/pmd/co/PMD_0000982,thermomechanical analysis process,Thermomechanische Analyse-Verfahren,,"A mechanical property analyzing process that measures the dimensional changes of a material as a function of temperature, determining its coefficient of thermal expansion.","Ein Thermoanalytisches Verfahren, das die Maßänderungen eines Materials als Funktion der Temperatur misst und seinen thermischen Ausdehnungskoeffizienten bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0000989,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000556,thin-layer chromatography process,Dünnschichtchromatographie Verfahren,,A chromatography process that separates non-volatile mixtures by applying a sample on a thin layer of an adsorbent material and using a solvent to move the components up the layer based on their affinities.,"Ein Chromatographieverfahren, das nichtflüchtige Gemische trennt, indem eine Probe auf eine dünne Schicht eines Adsorptionsmaterials aufgetragen und ein Lösungsmittel verwendet wird, um die Komponenten basierend auf ihren Affinitäten entlang der Schicht zu bewegen.",,,,,,
https://w3id.org/pmd/co/PMD_0000995,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,torsion testing process,Torsionsprüfverfahren,,"A mechanical property analyzing process that assesses a material's behavior when subjected to twisting forces, determining its torsional strength and shear modulus.","Ein Mechanische Eigenschaften Analyseverfahren, das das Verhalten eines Materials bei Torsionskräften bewertet und seine Torsionsfestigkeit und Schermodul bestimmt.",,,,,,
https://w3id.org/pmd/co/PMD_0001005,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000916,viscometry,Viskosimetrie,,"A rheological property analyzing process that measures the viscosity of a fluid, which is its resistance to gradual deformation by shear or tensile stress, using viscometers or rheometers.","Ein Rheologisches Eigenschaften Analyseverfahren, das die Viskosität einer Flüssigkeit misst, also deren Widerstand gegen allmähliche Verformung durch Scher- oder Zugspannung, unter Verwendung von Viskosimetern oder Rheometern.",,,,,,
https://w3id.org/pmd/co/PMD_0001010,src/ontology/components/pmdco-characterization.owl,https://w3id.org/pmd/co/PMD_0000849,wear testing process,Verschleißprüfverfahren,,"A mechanical property analyzing process that evaluates the resistance of a material to wear and abrasion, simulating real-life conditions of friction.","Ein Mechanische Eigenschaften Analyseverfahrenn, das den Widerstand eines Materials gegen Verschleiß und Abrieb bewertet und reale Reibungsbedingungen simuliert.",,,,,,
